Table 4: City Prosperity Index. Global CPI. Base Data. 2016 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City Prosperity Index. Global CPI. Base Data. 2016 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY,METROPOLITAN AREA,CITY,YEAR,PRODUCTIVITY INDEX (P),,INFRASTRUCTURE DEVELOPMENT INDEX (ID),,,,,,,,,QUALITY OF LIFE INDEX (QOL),,,,,,EQUITY AND SOCIAL INCLUSION INDEX (ESI),,,,,,ENVIRONMENTAL SUSTAINABILITY,,,,,URBAN GOVERNANCE AND LEGISLATION INDEX (GI)
Egypt,--,Damietta,2016,"9,417.26",12.39,99.69,,92.94,4.89,42.31,,,25.92,,72.6,,82.09,13.3,30.81,,0.27,1.1,,11.77,,,,151.93,2.62,9.04,,28.27
Egypt,--,Edco,2016,"8,633.20",15.02,99.64,,88.15,2.1,33.89,,,55.3,,71.5,15.85,68.97,13.3,27.95,,0.27,23.5,,18.75,,,,173.39,2.62,9.04,,28.27
Egypt,--,Elbadary,2016,"7,149.40",13.57,94.22,,65.85,2.9,32.78,,,32.54,,70.7,47.31,76.41,13.3,31.95,,0.29,61,,11.85,,,,173.39,2.62,9.04,,28.27
Egypt,--,Elfayoom,2016,"8,589.41",14.76,99.01,,97.11,1.17,29.86,,,27.07,,69.5,49.48,78.31,13.3,25.18,,0.3,28.7,,13.44,,,,352.39,2.62,9.04,,28.27
Egypt,--,Elkharga,2016,"9,525.49",15.38,99.6,,98.19,2.16,50,,,72.19,,71.2,13.56,88.6,13.3,48.11,,0.2, -   ,,15.03,,,,173.39,2.62,9.04,,28.27
Egypt,--,Elmahala_Elkobra,2016,"8,589.25",17.33,97.93,,98.38,2.49,38.44,,,22.12,,72.3,14.4,82.59,13.3,39.81,,0.29,7.6,,17.15,,,,284.29,2.62,9.04,,28.27
Egypt,--,Elmahmoudeya,2016,"8,754.52",15.02,99.86,,99.78,7,33.89,,,55.3,,71.5,13.49,83.95,13.3,451,,0.27,23.5,,18.75,,,,173.39,2.62,9.04,,28.27
Egypt,--,Elmansoura,2016,"8,366.98",14.64,99.35,,99.05,3.96,45.71,,,23.2,,71.8,,87.74,13.3,36.61,,0.29,9.3,,13.5,,,,148.13,2.62,9.04,,28.27
Egypt,--,Elmaragha,2016,"7,606.13",13.87,97.57,,87.65,3.26,21.84,,,31.2,,70.5,23.77,75.13,13.3,13.73,,0.32,47.5,,13.47,,,,328.13,2.62,9.04,,28.27
Egypt,--,Elmenya,2016,"8,304.92",13.48,98.05,,95.31,3.23,32.7,,,26.38,,69.3,38.51,86.4,13.3,20.38,,0.23,30.9,,13.63,,,,328.13,2.62,9.04,,28.27
Egypt,--,Elsadat,2016,"8,509.85",8.69,98.53,,94.26,2.22,41.27,,,47,,71.5,9.4,90.94,13.3,16.16,,0.36,17.9,,9.56,,,,178.19,2.62,9.04,,28.27
Egypt,--,Elsuez City,2016,"8,018.84",16.23,99.15,,90.01,0.96,67.12,,,31.44,,72.3,16.7,82.68,13.3,80.72,,0.29,1.9,,17.23,,,,308.69,2.62,9.04,,28.27
Egypt,--,Elzaqazeeq,2016,"8,354.11",18.46,99.26,,99.48,3.69,41.71,,,24.67,,71.2,21.53,85.22,13.3,,,0.26,19.2,,14.34,,,,308.69,2.62,9.04,,28.27
Egypt,--,Esmailya,2016,"8,715.40",15.08,98.41,,98.5,1.59,52.03,,,42.82,,70.9,26.12,85.22,13.3,66.59,,0.25,18.8,,17.76,,,,308.69,2.62,9.04,,28.27
Egypt,--,Greater Cairo ,2016,"10,847.49",16.54,96.72,,82.06,6.23,55.59,,,5.53,,71.3,34.4,80.38,13.3,112.82,,0.36,7.6,,14.39,,,,383.19,2.62,9.04,,28.27
Egypt,--,Hurgada,2016,"19,541.62",20.32,91.68,,65.38,1.47,77.36,,,83.24,,71.2,20.94,93.09,13.3,276.66,,0.26, -   ,,17.35,,,,328.13,2.62,9.04,,28.27
Egypt,--,Kafr_elshekh,2016,"8,442.25",13.94,99.7,,94.63,2.94,34.07,,,30.62,,70.6,15.01,81.66,13.3,34.46,,0.38,11.2,,12.35,,,,178.19,2.62,9.04,,28.27
Egypt,--,Kafr_Shokr,2016,"8,042.77",15.26,99.33,,91.13,4.32,46.17,,,23.61,,72.7,11.23,66.83,13.3,72.96,,0.26,11.3,,13.19,,,,179.45,2.62,9.04,,28.27
Egypt,--,Marsa_Matrouh,2016,"8,160.56",5.7,90.84,,79.15,2,34.78,,,64.56,,71.1,12.3,76.98,13.3,120.84,,0.3, -   ,,7.36,,,,173.39,2.62,9.04,,28.27
Egypt,--,Menouf,2016,"8,832.60",8.69,96.99,,89.31,9.25,41.27,,,47,,71.5,20.25,73.56,13.3,16.16,,0.36,17.9,,9.56,,,,178.19,2.62,9.04,,28.27
Egypt,--,Portsaid City,2016,"8,915.15",25.65,90.19,,86.71,1.88,57.69,,,26.99,,72.7,24.7,83.42,13.3,79.55,,0.28,4.4,,22.16,,,,88.95,2.62,9.04,,28.27
Egypt,--,Qena,2016,"7,120.57",14.44,98.82,,94.41,2.06,39.46,,,29.14,,70.5,38.29,84.79,13.3,12.41,,0.29,39,,12.19,,,,328.13,2.62,9.04,,28.27
Egypt,--,Sherbeen,2016,"8,250.10",14.64,99.86,,85.96,8.41,45.71,,,23.2,,71.8,10.7,79.44,13.3,36.61,,0.29,9.3,,13.5,,,,148.13,2.62,9.04,,28.27
Egypt,--,Siwa,2016,"8,199.55",5.7,90.61,,88.36,1.12,34.78,,,64.56,,71.1,12.13,81.28,13.3,120.84,,0.3, -   ,,7.36,,,,173.39,2.62,9.04,,28.27
Egypt,--,Sohag,2016,"7,814.76",13.87,99.01,,96.4,6.35,21.84,,,31.2,,70.5,62.65,87.6,13.3,13.73,,0.32,47.5,,13.47,,,,308.69,2.62,9.04,,28.27
Egypt,--,Tal_kebeer,2016,"7,940.48",15.08,99.51,,64.12,5.98,52.03,,,42.82,,70.9,13.64,83.26,13.3,66.59,,0.25,18.8,,17.76,,,,88.95,2.62,9.04,,28.27
Morocco,--,Casablanca,2015,"11,958.56",10.6, -- ,,98,1.3,46.21,,,18.08,,70.2,30.4,67.08,4.4,1.4,,0.37,0.14,13.1,18.5,1.03,,,19.98,1.6,2.78,,45.4
Morocco,--,Marrakech,2015,"5,697.65",13.4, -- ,,98,0.5,46.21,,,18.08,,70.9,30.4,67.08,4.4,2.2,,0.42,0.71,13.1,18.5,1.03,,,19.98,1.6,2.78,,45.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,--,Buenos Aires,2015,"32,185.00",6.1,99.3,,98.1,3.86,59.9,,,12.6,,77.17,14,97.9,9.8,4.9,,0.4,4.3,9.6,19.9,1.09,,,16,4.47,1.66,,79.39
Brazil,Region Metropolitana de Sao Paulo,Arujá,2016,"18,868.47",9.91,99.04,,97.81,1.56,36.69,52.93,31.56,,,76.95,12.8,95.09,8.61,13.31,,0.58,6.21, -   ,17.63,1.14,,,30,,23.38,,83.98
Brazil,Region Metropolitana de Sao Paulo,Barueri,2016,"63,640.95",9.58,99.83,,99.28,1.24,45.18,62.98,41.05,,,76.96,13.2,95.96,8.73,9.25,,0.62,5.65,1.07,15.94,1.17,,,30,,22.06,,85.17
Brazil,Region Metropolitana de Sao Paulo,Biritiba Mirim,2016,"6,183.54",8.13,99.92,,97.82,0.07,18.28,44.2,23.26,,,72.7,21.4,91.21,6.96,9.73,,0.54,9.77, -   ,14.88,0.89,,,30,,21.06,,84.14
Brazil,Region Metropolitana de Sao Paulo,Caieiras,2016,"15,893.69",9.71,99.38,,96.83,0.49,42.34,59.96,32.54,,,76.68,11.8,96.07,8.85,6.35,,0.48,5.08,2.87,17.31,1.12,,,30,,13.01,,85.53
Brazil,Region Metropolitana de Sao Paulo,Cajamar,2016,"40,468.57",9.11,99.73,,96.49,0.25,35.05,70.06,32.8,,,73.59,19.7,94.81,7.87,19.8,,0.49,7.21,4.48,12.76,0.86,,,30,,17.34,,87.51
Brazil,Region Metropolitana de Sao Paulo,Carapicuíba,2016,"6,726.63",9.59,99.7,,98.05,0.33,41.33,64,40.12,,,75.52,16.1,95.64,8.25,16.92,,0.5,6.12,7.93,16.74,1.14,,,28,,17.85,,83.69
Brazil,Region Metropolitana de Sao Paulo,Cotia,2016,"23,494.82",8.04,98.33,,97.37,1.32,40.19,65.61,40.5,,,76.05,13.8,95.58,8.9,15.09,,0.59,4.72,0.72,13.83,1.13,,,30,,29.95,,85.36
Brazil,Region Metropolitana de Sao Paulo,Diadema,2016,"17,172.34",9.93,99.58,,99.1,0.13,43.55,52.15,29.75,,,75.65,15.8,95.64,8.47,13.43,,0.46,5.51,22.78,17.53,1.09,,,29,,25.72,,83.91
Brazil,Region Metropolitana de Sao Paulo,Embu das Artes,2016,"11,762.21",10.8,99.79,,98.33,0.22,34.31,59.07,37.49,,,75.33,15.2,95.04,7.88,14.67,,0.49,7.05,14.24,18.54,1.12,,,30,,13.95,,84.24
Brazil,Region Metropolitana de Sao Paulo,Embu-Guaçu,2016,"8,315.89",9.78,98.36,,95.6,0.27,28.43,51.68,33.9,,,75.01,17,93.93,8.15,22.46,,0.52,8.98, -   ,18.11,1.15,,,30,,26.91,,82.37
Brazil,Region Metropolitana de Sao Paulo,Ferraz de Vasconcelos,2016,"7,636.35",10.28,99.6,,98.78,0.12,31.58,74.1,37.27,,,74.65,17.6,95.09,7.96,8.77,,0.46,7.58,6.91,16.28,1.12,,,30,,12.07,,84.54
Brazil,--,Fortaleza,2014,"11,448.57",5.9,55.6,,98.56,1.82,51.6,90.35,75.1,27.2,,74.41,10.8,93.4,,76.8,,0.51,5.46,59.7,,86,,,,3.83,6.57,,
Brazil,Region Metropolitana de Sao Paulo,Francisco Morato,2016,"4,009.41",10.01,99.45,,98.27,0.03,25.12,76.54,41.01,,,73.91,19.1,93.06,7.01,9.61,,0.44,9.32,5.53,15.18,1.1,,,30,,27.7,,82.92
Brazil,Region Metropolitana de Sao Paulo,Franco da Rocha,2016,"7,264.42",10,81.73,,79.94,0.14,27.59,75.51,37.54,,,76.09,15.2,94.03,7.63,13.21,,0.46,6.83,7.09,19.18,1.1,,,30,,25.21,,83.94
Brazil,Region Metropolitana de Sao Paulo,Guararema,2016,"16,104.63",6.05,98.44,,97.08,0.81,27,48.11,19.57,,,74.03,18.8,92.83,7.85,10.71,,0.51,5.51, -   ,10.84,1.18,,,30,,17.62,,86.09
Brazil,Region Metropolitana de Sao Paulo,Guarulhos,2016,"17,876.88",10.15,98,,97.07,0.64,41.24,59.98,40.74,,,74.83,15.5,95.9,8.75,15.17,,0.53,6.5,17.58,17.78,1.13,,,30,,4.67,,81.78
Brazil,Region Metropolitana de Sao Paulo,Itapecerica da Serra,2016,"9,363.56",9.01,92.46,,90.83,0.29,31.83,61.36,41.66,,,76.09,15.1,94.38,7.9,13.91,,0.48,7.44,0.96,17.66,1.07,,,30,,10.93,,83.71
Brazil,Region Metropolitana de Sao Paulo,Itapevi,2016,"12,265.77",10.86,99.79,,98.45,0.19,30.23,60.39,36.45,,,76.28,14.5,94.62,7.69,20.43,,0.47,8.33,1.58,17.55,1.16,,,30,,19.82,,84.3
Brazil,Region Metropolitana de Sao Paulo,Itaquaquecetuba,2016,"8,659.93",12.73,99.67,,98.24,0.03,25.88,43.97,30.38,,,75.66,17.4,94.34,7.47,16.92,,0.46,10.21,8.57,19.95,1.24,,,30,,23.95,,84.33
Brazil,Region Metropolitana de Sao Paulo,Jandira,2016,"13,021.58",8.44,99.89,,99.68,0.35,38.8,54.73,30.63,,,75.46,17.1,95.56,8.41,23.84,,0.49,4.4,1.91,16.42,1.13,,,30,,24.24,,84.22
Brazil,Region Metropolitana de Sao Paulo,Juquitiba,2016,"9,520.08",9.05,98.95,,95.18,0.17,16.27,83.91,37.05,,,72.48,21.9,89.18,7.12,26.28,,0.52,9.97, -   ,15.56,1.28,,,30,,5.56,,81.55
Brazil,Region Metropolitana de Sao Paulo,Mairiporã,2016,"10,397.15",5.74,98.96,,87.22,1.36,36.59,45.23,34.21,,,77.86,13.4,95,8.55,17.65,,0.58,5.74, -   ,10.98,1.25,,,30,,23.44,,82.21
Brazil,Region Metropolitana de Sao Paulo,Mauá,2016,"9,939.09",12.23,98.52,,98.15,0.15,38.3,54.64,31.5,,,76.13,15.1,96.05,8.61,10.03,,0.46,5.28,20.15,21.84,1.08,,,30,,26.72,,85.39
Brazil,Region Metropolitana de Sao Paulo,Mogi das Cruzes,2016,"16,001.34",9.93,99,,96.47,2.28,42.54,46.65,30.08,,,76.07,14.2,96.05,9.22,18.82,,0.55,7.06, -   ,18.93,1.13,,,30,,20.82,,84.31
Brazil,Region Metropolitana de Sao Paulo,Osasco,2016,"17,173.10",8.65,99.42,,98.4,0.59,48.01,55.46,37.56,,,75.42,15.5,96.52,8.94,9.38,,0.55,4.8,12.04,16.46,1.14,,,40,,23.99,,82.78
Brazil,Region Metropolitana de Sao Paulo,Pirapora do Bom Jesus,2016,"10,446.53",8.05,99.28,,96.44,0.01,22.26,56.05,26.72,,,73.59,19.7,94.08,7.86,34.54,,0.49,9.88, -   ,14.91,1.1,,,30,,17.76,,87.29
Brazil,Region Metropolitana de Sao Paulo,Poá,2016,"17,202.82",10.09,99.41,,98.71,0.36,41.29,58.11,35.91,,,76.33,14.8,96.7,9.17,5.31,,0.45,6.8, -   ,17.38,1.05,,,30,,30.23,,84.68
Brazil,Region Metropolitana de Sao Paulo,Region Metropolitana de Sao Paulo,2016,"23,510.23",7.51,98.87,,98,2.85,48.71,55.28,39.14,,,76.12,15.94,96.41,9.3,11.2,,0.59,1.49,10.99,15.88,1.11,,,30,,24.67,,82.45
Brazil,Region Metropolitana de Sao Paulo,Ribeirão Pires,2016,"13,570.31",10.65,99.25,,98.25,1.11,43.85,49.29,30.57,,,75.81,18.9,96.53,9.23,17.55,,0.48,3.39,2.89,18.41,1.2,,,30,,22.91,,84.17
Brazil,Region Metropolitana de Sao Paulo,Rio Grande da Serra,2016,"5,121.17",13.26,98.78,,98.36,0.05,34.53,63.27,38.62,,,74.36,18.2,94.59,8.31,6.29,,0.4,7.02, -   ,23.72,1.08,,,30,,10.63,,84.78
Brazil,Region Metropolitana de Sao Paulo,Salesópolis,2016,"6,993.35",7.25,99.07,,92.82,0.19,19.79,28.21,24.72,,,74.75,17.5,90.87,7.41,0,,0.42,8.2, -   ,15.19,1.02,,,30,,23.41,,83.47
Brazil,Region Metropolitana de Sao Paulo,Santa Isabel,2016,"13,561.62",10.22,98.87,,95.11,0.52,26.11,46.03,36.57,,,75.02,17,92.51,7.46,12.88,,0.47,7.63, -   ,19.71,1.27,,,30,,14.39,,84.71
Brazil,Region Metropolitana de Sao Paulo,Santana de Parnaíba,2016,"32,895.30",7.89,99.88,,96.15,3.23,47.5,68.2,30.95,,,75.92,17.4,95.5,9.36,5.65,,0.69,4.71,3.69,15.3,0.93,,,30,,18.88,,85.62
Brazil,Region Metropolitana de Sao Paulo,Santo André,2016,"19,698.62",8.32,99.2,,97.4,2.51,55.9,43.38,31.58,,,76.66,14.1,97.22,9.79,10.32,,0.54,3.24,12.64,15.2,1.09,,,31,,32.53,,82.05
Brazil,Region Metropolitana de Sao Paulo,São Bernardo do Campo,2016,"22,438.26",8.55,98.62,,97.76,1.44,53.94,48.42,35.66,,,76.65,14.4,96.96,9.7,8.5,,0.55,3.54,19.96,15.67,1.11,,,31,,25.76,,84.04
Brazil,Region Metropolitana de Sao Paulo,São Caetano do Sul,2016,"45,359.09",6.52,98.56,,98.55,4.25,67.64,32.41,28.66,,,78.2,11,98.45,10.74,2.54,,0.55,0.52, -   ,13.46,1.06,,,39,,33.72,,89.63
Brazil,Region Metropolitana de Sao Paulo,São Lourenço da Serra,2016,"20,164.68",8.56,98.1,,91.85,0.36,20.94,65,30.77,,,74.36,18.2,91.78,7.37,13.31,,0.51,7.73, -   ,15.53,1.09,,,30,,9.43,,84.73
Brazil,Region Metropolitana de Sao Paulo,São Paulo,2016,"28,079.44",7.73,99.05,,98.5,4.3,53.22,55.99,41.94,,,76.3,14.7,96.82,9.51,10.07,,0.65,4.27,11.38,15,1.09,,,29.46,,27.66,,81.52
Brazil,Region Metropolitana de Sao Paulo,Suzano,2016,"12,766.01",11.91,98.77,,97.65,0.91,33.77,59.3,32.34,,,77.36,13.6,95.15,8.51,10.98,,0.49,8.54,2.16,20.82,1.11,,,30,,7.32,,84.43
Brazil,Region Metropolitana de Sao Paulo,Taboão da Serra,2016,"14,908.80",8.48,99.54,,99.34,0.23,45.59,61.27,37.37,,,76.79,13.6,96.03,8.85,9.32,,0.49,4.72,11.01,15.88,1.24,,,36,,35.27,,83.14
Brazil,Region Metropolitana de Sao Paulo,Vargem Grande Paulista,2016,"15,437.62",7.55,98.8,,98.35,1,37.55,47.33,28.38,,,78.02,11.3,95.89,8.26,10.44,,0.52,4.33, -   ,13.49,1.33,,,30,,31.73,,84.48
Colombia,--,Armenia,2013,"8,235.09",15.4,96.5,,100,151.2,42.2,52.2,24,10,,74.5,11.7,97.1,8.9,31,,0.5,6.6,7.3,24.1,0.99,,,19.9,1.6,3.3,,
Colombia,--,Barranquilla,2013,"9,806.11",8,97.1,,100,11.8,39.1,52.2,,4,,75.49,20.5,97,9.5,26,,0.46,6.6,11.9,16.8,0.94,,,39.2,1.6,3.3,,
Colombia,--,Bogotá,2013,"17,927.36",9,98.1,,99.9,81,51.5,59,55,7,,78.01,13.3,98.2,10.1,16,,0.5,1.6,4.2,14.8,0.99,,,47.9,1.6,3.3,,
Colombia,--,Bucaramanga,2013,"15,472.15",9.4,94.3,,99.9,42,51,47,,13,,75.33,16,97.3,9.2,18,,0.44,1.2,4.7,16.5,1.04,,,52.46,1.6,3.3,,
Colombia,--,Cali,2013,"12,234.05",14.2,96.9,,99.8,104.5,45.4,52,,14,,75.33,16.4,97.4,9.1,85,,0.51,4.4,5.4,23.9,1.03,,,41.16,1.6,3.3,,
Colombia,--,Cartagena,2013,"16,681.96",9.9,98.8,,98.7,16.4,43,57,,4,,74.15,15,97.1,9.8,28,,0.48,5.8,15.1,19.7,1.03,,,39.2,1.6,3.3,,
Colombia,--,Cúcuta,2013,"7,328.52",15.6,98.5,,99.4,106.4,29.5,,,5,,72.63,12.2,95.6,8,42,,0.44,6,25.6,24.1,1.01,,,65.96,1.6,3.3,,
Colombia,--,Florencia,2013,"7,989.41",12.2,99.2,,97.95,248.9,22.6,,,16,,68.48,12,94.4,8.2,46,,0.5,7.7,15.5,20,1.09,,,39.2,1.6,3.3,,
Colombia,--,Ibagué,2013,"8,916.73",13.8,98,,99.7,317.75,45.9,57,,13,,73.32,13.7,97.3,9.3,17,,0.45,2.5,5,22,0.99,,,27.14,1.6,3.3,,
Colombia,--,Manizales,2013,"9,652.10",11.6,98,,99.9,78.1,54.6,,24,10,,74.52,18.9,97.3,9.5,28,,0.47,2.6,3.8,19.6,0.97,,,36.64,1.6,3.3,,
Colombia,--,Medellín,2013,"13,638.41",11.2,99,,99.9,114,52,59,34,7,,75.07,13.8,97.1,9.3,38,,0.51,3,6.5,17.6,1.05,,,45.25,1.6,3.3,,
Colombia,--,Montería,2013,"8,547.47",10.9,97.2,,98.6,55.3,32.1,,,10,,73.73,31,96.3,9.2,31,,0.53,6.5,14.4,20.3,1.03,,,17.9,1.6,3.3,,
Colombia,--,Neiva,2013,"11,065.53",11.9,98.2,,99.8,123.1,46.8,,,15,,73.23,19.2,96.3,9.2,31,,0.48,4.6,8,20.5,1.01,,,31.13,1.6,3.3,,
Colombia,--,Pasto,2013,"9,060.98",10.7,98.7,,99.9,117.3,38.7,,,13,,73.21,22.4,97.2,9.4,25,,0.51,4.4,6.3,18.9,1.02,,,24.94,1.6,3.3,,
Colombia,--,Pereira,2013,"9,697.96",13.8,98.2,,99.7,94.9,46.1,,,20,,74.7,13.6,96.9,8.5,39,,0.48,5.1,3.8,22,0.99,,,35.3,1.6,3.3,,
Colombia,--,Popoyan,2013,"9,286.92",15.6,96.5,,99.8,133.1,42.8,,,11,,71.89,14.7,97.5,9.7,29,,0.51,8.1,6.7,28.4,1.06,,,38.2,1.6,3.3,,
Colombia,--,Quibdó,2013,"6,142.53",18.3,98.5,,10.5,200.4,25,,,19,,69.3,16.4,94,10.1,106,,0.54,17.5,93.9,25.1,1.11,,,39.2,1.6,3.3,,
Colombia,--,Riohacha,2013,"5,128.62",10.3,96.6,,98.5,44.82,24.5,,,12,,74.4,33.3,93.9,9.8,19,,0.52,12.7,35.7,15.6,1.03,,,50.2,1.6,3.3,,
Colombia,--,Santa Marta,2013,"6,876.01",9.9,97.6,,96.3,47.1,30.8,,,11,,75.07,20.9,96.4,9.3,31,,0.46,6.5,33.8,18.1,0.99,,,35.2,1.6,3.3,,
Colombia,--,Sincelejo,2013,"6,963.27",10.4,98.4,,93.7,91.2,28.7,,,16,,74.37,10.5,91.7,8.6,30,,0.48,6.1,24.9,18.4,1,,,39.2,1.6,3.3,,
Colombia,--,Tunja,2013,"11,114.74",12.1,97.6,,100,100.9,39.3,,,10,,75.32,12,98.1,10.7,8,,0.48,2.8,2.8,19.3,1.01,,,50.28,1.6,3.3,,
Colombia,--,Valledupar,2013,"7,158.97",9.9,98.8,,100,67.9,35.1,28,,15,,73.8,18.5,95,9.3,22,,0.46,4.4,13.2,16.7,0.98,,,33.5,1.6,3.3,,
Colombia,--,Villavicencio,2013,"11,780.54",11.3,97.8,,99.9,65,36.7,,,17,,71.58,16.2,96.9,8.9,29,,0.44,3.1,6.2,18.2,1.02,,,51.8,1.6,3.3,,
Ecuador,--,Ambato,2015,"14,379.16",3.68,,76.1,97.4,5.79,59.31,,24.69,16.35,,76.39,4.68,95.71,9.88,5.45,,0.44,2.47,15.47,8.44,1.04,,,19.66,1.36,2.79,,65
Ecuador,--,Babahoyo,2015,"10,639.45",6.5,,43.67,81.85,4.42,35.65,,24.39,36.59,,72.81,7.52,95.07,8.55,13.31,,0.59,8.85,34.16,10.15,1.01,,,36.69,2.31,2.79,,80.7
Ecuador,--,Chone,2015,"10,614.25",1.77,,38.84,75.31,5.02,48.98,,20.36,41.66,,75.32,4.34,93.08,8.95,9.47,,0.49,9.42,29.55,9.45,1.14,,,36.69,2.31,2.79,,84.3
Ecuador,--,Cuenca,2015,"14,294.90",2.3,,59.66,96.3,6.21,67.6,,25.75,12.43,,78.04,6.24,95.61,9.93,3.03,,0.39,2.3,10.99,4.7,0.94,,,32.37,2.42,2.79,,70.7
Ecuador,--,Daule,2015,"9,112.45",2.62,,53.05,72.6,1.61,48.5,,29.52,32.24,,74.42,6.5,93.98,8.79,9.21,,0.49,4.78,39.67,17,1.02,,,36.69,2.31,2.79,,86.29
